Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
62959844,Create directory that will house all of your classwork.,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 24, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#workDirectory,http://www.pivotaltracker.com/story/show/62959844,,,,Open a terminal window.,not completed,"Type ""mkdir ~/gSchoolWork"" in the command window.",not completed,"Type ""ls -l ~"" in the command window. You should see the workspace directory listed.",not completed
62958524,Install Homebrew,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 24, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#homebrew,http://www.pivotaltracker.com/story/show/62958524,,,,Open up terminal,not completed,Follow instructions on website. Assume all of the defaults when prompted and install the xcode tools when prompted. The password is the password you used to log into your computer.,not completed,Make sure homebrew is running fine with brew doctor command.,not completed
62959526,Install RVM,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 24, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#rvm,http://www.pivotaltracker.com/story/show/62959526,,,,Open a terminal window ,not completed,"Paste in: ""\curl -sSL https://get.rvm.io | bash -s stable"" (without the quotes) into the terminal window",not completed,"When installation is complete, close the current terminal window and reopen.",not completed,"Type ""rvm info"" to confirm proper installation.",not completed
62959566,Install Ruby 2.1.1,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 24, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#ruby21,http://www.pivotaltracker.com/story/show/62959566,,,,Open a terminal window.,not completed,"Type ""rvm install ruby-2.1.1""",not completed,Wait for Ruby to compile....and read about Ruby.,not completed,Confirm ruby version.,not completed
63207264,Install Bundler,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Jan 3, 2014",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#bundler,http://www.pivotaltracker.com/story/show/63207264,
62958982,Install Chrome browser,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 24, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#chrome,http://www.pivotaltracker.com/story/show/62958982,,,,"Navigate Safari to: https://www.google.com/intl/en/chrome/browser/
",not completed,Follow instructions.,not completed
62959080,Install ScreenHero,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 24, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#screenhero,http://www.pivotaltracker.com/story/show/62959080,,,,Navigate to: http://screenhero.com/,not completed,Download and install.,not completed,Create account and add mgehard@pivotallabs.com as a contact.,not completed
63112680,Install GitHub git GUI client,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 31, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#githubGui,http://www.pivotaltracker.com/story/show/63112680,,,,Navigate browser to http://mac.github.com/,not completed,Download client,not completed,Configure Git,not completed
64575764,Install and configure Rubymine,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Jan 27, 2014",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#rubymine,http://www.pivotaltracker.com/story/show/64575764,
65399696,Set up global gitignore,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Feb 7, 2014",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#globalGitIgnore,http://www.pivotaltracker.com/story/show/65399696,
63116698,Create SSH key with password,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 31, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#sshKey,http://www.pivotaltracker.com/story/show/63116698,
61777166,Create Heroku account and install heroku toolbelt,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Dec 2, 2013",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#heroku,http://www.pivotaltracker.com/story/show/61777166,
63500000,Install Exercism.io command line client.,"",1,"Feb 24, 2014","Mar 2, 2014",chore,,unstarted,"Jan 8, 2014",,,Mike Gehard,See: http://tutorials.gschool.it/computer_setup#exercism,http://www.pivotaltracker.com/story/show/63500000,
63117576,Ruby toolchain installed ☺,"",1,"Feb 24, 2014","Mar 2, 2014",release,,unstarted,"Dec 31, 2013",,,Mike Gehard,,http://www.pivotaltracker.com/story/show/63117576,
